instance,ks-noInit-noLS,ks-noInit-shortLS,ks-noInit-LS,ks-noInit-LSnonPerm,ks-mNEH-noLS,ks-mNEH-shortLS,ks-mNEH-LS,ks-mNEH-LSnonPerm,ks-NEH-noLS,ks-NEH-shortLS,ks-NEH-LS,ks-NEH-LSnonPerm,ks-LK-noLS,ks-LK-shortLS,ks-LK-LS,ks-LK-LSnonPerm,timeMeasure,instanceSet,bufferType,instanceSize
LGF-Berlin-100-80000-1--maxScore-160000-interBuf-14435-evaluation,0,0,0,0.324503311258278,0,0,0,0,1,0,0,0.962608252674478,0,0,0.948548140601121,0,evaluation,Berlin,interBuf,mid
LGF-Berlin-100-80000-1--maxScore-160000-spanBuf-65585-evaluation,0.321992317376287,0,0,1,0,0,0,0.605248716872721,0,0.306788469608444,0.585493398753995,0,0,0.299977404047903,0,0,evaluation,Berlin,spanBuf,mid
LGF-Berlin-100-80000-2--maxScore-160000-interBuf-10772-evaluation,0,0.308697136119644,0.153945204629371,1,0.153153991746564,0,0.276443575661671,0.261488100778802,0.151183716528592,0.13585590617146,0.132318719165968,0.106534487573304,0,0.1476465295231,0,0,evaluation,Berlin,interBuf,mid
LGF-Berlin-100-80000-2--maxScore-160000-spanBuf-57408-evaluation,0,0,0,0.517906240211603,0,0.319284446455295,0.549611944454112,0,0,0,0,0,0,1,0.304945533010823,0.303971043747607,evaluation,Berlin,spanBuf,mid
LGF-Berlin-100-80000-3--maxScore-160000-interBuf-17570-evaluation,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,evaluation,Berlin,interBuf,mid
LGF-Berlin-100-80000-3--maxScore-160000-spanBuf-61596-evaluation,0,1,0,0.577913618599058,0,0,0,0,0,0,0,0,0,0,0,0,evaluation,Berlin,spanBuf,mid
LGF-Berlin-150-80000-1--maxScore-160000-interBuf-12872-evaluation,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.266297624938149,0.297934190994557,evaluation,Berlin,interBuf,large
LGF-Berlin-150-80000-1--maxScore-160000-spanBuf-59981-evaluation,0,0.67608695652174,0,0.40101902173913,1,0.318410326086956,0.286141304347826,0,0,0.643885869565218,0.59273097826087,0.324694293478261,0,0.316847826086956,0.6296875,0.297146739130434,evaluation,Berlin,spanBuf,large
LGF-Berlin-150-80000-2--maxScore-160000-interBuf-13127-evaluation,0.0884773662551439,0.0885039733219809,0.176493543351781,1,0.174533489428126,0.248572087413084,0.399380942244928,0.106587909748829,0.434573222647936,0.0806548886050801,0.235055697459912,0.041489286221087,0.176608840641408,0.0828632751525471,0.0770363275152546,0.0863044557967929,evaluation,Berlin,interBuf,large
LGF-Berlin-150-80000-2--maxScore-160000-spanBuf-59045-evaluation,0,0.276003890509934,0,1,0,0,0.723690426566625,0,0.270446019174656,0.516826455467556,0.2334305960817,0.060608586911213,0.553397248853689,0,0,0,evaluation,Berlin,spanBuf,large
LGF-Berlin-150-80000-3--maxScore-160000-interBuf-9406-evaluation,0.698398233500404,0,0,1,0.683046510812801,0.323087168343205,0.601661350811398,0,0.683046510812801,0.331358872805019,0.897970628439242,0.26185552556868,0,0,0.305912866706389,0,evaluation,Berlin,interBuf,large
LGF-Berlin-150-80000-3--maxScore-160000-spanBuf-64224-evaluation,0,0.293382829532732,0.29335336750928,1,0,0,0.279506216486948,0.15806375581875,0.289169760179129,0.281892640386541,0,0.177066760945142,0,0.553591420658771,0,0.408667727299511,evaluation,Berlin,spanBuf,large
LGF-Berlin-50-80000-1--maxScore-160000-interBuf-13249-evaluation,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,evaluation,Berlin,interBuf,small
LGF-Berlin-50-80000-1--maxScore-160000-spanBuf-67435-evaluation,0,0,0,1,0.495249107636619,0.485898144889648,0.48408828113217,0.0292091900859685,0,0,0,0,0.500226232969684,0.480368005630687,0.491528832135136,0.0933085314966567,evaluation,Berlin,spanBuf,small
LGF-Berlin-50-80000-2--maxScore-160000-interBuf-10963-evaluation,0.455199835469938,0.681588629144673,0.449818331390964,1,0.112006124174493,0.415346998468956,0.197139005050159,0.408160233998308,0.22310961815315,0.218630744270012,0.181017344210599,0.322136148625489,0.453691643243984,0.633532140490392,0.485683599552114,0.215054500582711,evaluation,Berlin,interBuf,small
LGF-Berlin-50-80000-2--maxScore-160000-spanBuf-51138-evaluation,0.617318435754189,0.204655493482309,0.205772811918063,0.610697289468238,1,0.739747568797845,0.331553900268984,0.181336643906476,0.599565487274983,0.568404717566728,0.341527001862197,0.179102007034967,0,0.371549762052555,0.324849989654458,0,evaluation,Berlin,spanBuf,small
LGF-Berlin-50-80000-3--maxScore-160000-interBuf-9776-evaluation,0.250641767755575,0.751925303266726,0,0.642422107011629,0.740901998288621,0,0,0.233628630392108,0,0.247646851562894,0.222605325414003,0,1,0.239643630140434,0.455227261287564,0.214602103991544,evaluation,Berlin,interBuf,small
LGF-Berlin-50-80000-3--maxScore-160000-spanBuf-58723-evaluation,0.53287641893339,0,0,0,0,1,0,0,0.520239880059969,0.50503319768687,0,0,0,0,0,0.482276718783465,evaluation,Berlin,spanBuf,small
LGF-brazil58-gen4-45.oplib-11428--maxScore-22856-interBuf-898-evaluation,0,0,0.949896320586392,0.093166803298452,0.466075131407628,0.766022086126248,0.754882577036216,0.403144138496407,0.470897429715002,0.345131889858706,1,0.303226117567632,0,0.383854945266914,0,0,evaluation,oplib,interBuf,mid
LGF-brazil58-gen4-45.oplib-11428--maxScore-22856-spanBuf-4775-evaluation,0,0.664768540229115,0.30659208146312,0,0.317243920412675,0.861794064446973,0.106618878542239,0.090674616466805,0.613251155624037,0,0.101292959067462,0,1,0.611810812621424,0.0501440343002612,0,evaluation,oplib,spanBuf,mid
LGF-gr120-gen4-85.oplib-5901--maxScore-11802-interBuf-227-evaluation,0,0.11967903913603,0.21205621861674,0,0.809770129444124,0,0,0,0.774545179278849,0,0,0,1,0.0138023264616084,0,0,evaluation,oplib,interBuf,large
LGF-gr120-gen4-85.oplib-5901--maxScore-11802-spanBuf-962-evaluation,0,0.540661304736373,0.490284692965659,0,0.445270011489852,0,0,0,0.304685305757693,0,0,0,1,0,0,0,evaluation,oplib,spanBuf,large
