instance,ks-noInit-noLS,ks-noInit-shortLS,ks-noInit-LS,ks-noInit-LSnonPerm,ks-mNEH-noLS,ks-mNEH-shortLS,ks-mNEH-LS,ks-mNEH-LSnonPerm,ks-NEH-noLS,ks-NEH-shortLS,ks-NEH-LS,ks-NEH-LSnonPerm,ks-LK-noLS,ks-LK-shortLS,ks-LK-LS,ks-LK-LSnonPerm,timeMeasure,instanceSet,bufferType,instanceSize
LGF-Berlin-100-80000-1--maxScore-160000-interBuf-14435-evaluation,0.922521963856497,0.931687887834235,0.91931572900891,1,0.946440598389144,0.957697996713471,0.936855548561468,0.923457648034003,0.951194638513044,0.933110838272475,0.913413481414079,0.934830241046703,0.912748385300783,0.941691440276385,0.933431181301275,0.918347428842091,evaluation,Berlin,interBuf,mid
LGF-Berlin-100-80000-1--maxScore-160000-spanBuf-65585-evaluation,0.955662359683793,0.977416141183335,0.983376693959878,1,0.968976687542273,0.977082425634729,0.934657332391414,0.939010475238817,0.956029767667596,0.952512116992971,0.953902531595431,0.942810801433733,0.941035129878822,0.960594290435811,0.947303426951842,0.93366140005104,evaluation,Berlin,spanBuf,mid
LGF-Berlin-100-80000-2--maxScore-160000-interBuf-10772-evaluation,0.917158492210211,0.934141463247558,0.909543236046222,1,0.909264614301594,0.934489639214397,0.927612435128948,0.897023557019119,0.944552815338722,0.930321163179792,0.926473575832767,0.909282266013403,0.887470661114097,0.938114960740731,0.87393657545617,0.863569109731057,evaluation,Berlin,interBuf,mid
LGF-Berlin-100-80000-2--maxScore-160000-spanBuf-57408-evaluation,0.922943603810791,0.941882307966383,0.961428079818971,0.968437347423609,0.982272649714029,0.967914073148701,0.950629159085202,0.885686301592171,1,0.959455109803718,0.952978243350874,0.911011298812819,0.952794315050924,0.961757082000121,0.917930601488132,0.888540667146885,evaluation,Berlin,spanBuf,mid
LGF-Berlin-100-80000-3--maxScore-160000-interBuf-17570-evaluation,0.90703602682215,0.901178508701291,0.95190013006286,1,0.937743621819392,0.963952220511029,0.904911925339078,0.927400654401568,0.96205089205894,0.920026566031306,0.936793710204939,0.886846931423073,0.877717752822208,0.884620706336399,0.904497641604741,0.901097689795039,evaluation,Berlin,interBuf,mid
LGF-Berlin-100-80000-3--maxScore-160000-spanBuf-61596-evaluation,0.956199685732276,0.951736915725855,0.9655603818558,1,0.959413065309715,0.923217356584446,0.940835181992786,0.924642871609485,0.937711863738061,0.951973326697976,0.938228138166275,0.918931658080505,0.909449231874766,0.914656059911824,0.899149730631423,0.918572675331563,evaluation,Berlin,spanBuf,mid
LGF-Berlin-150-80000-1--maxScore-160000-interBuf-12872-evaluation,0.885291362742506,0.918516895169253,0.931934399504206,1,0.952106057209212,0.898138265099513,0.895818057851633,0.903545838120899,0.925258868753229,0.917753768572809,0.932167411411585,0.88842240774883,0.909997260808112,0.908113509894313,0.900153053711765,0.899531800623454,evaluation,Berlin,interBuf,large
LGF-Berlin-150-80000-1--maxScore-160000-spanBuf-59981-evaluation,0.95337859396286,0.977356868860687,0.952198232594824,1,0.953381282713129,0.954877841112783,0.962089427833941,0.924435631318564,0.935100648885066,0.98271241127124,0.938638058363806,0.922237577973758,0.922554133505414,0.977783932028393,0.902769771276977,0.908169767691976,evaluation,Berlin,spanBuf,large
LGF-Berlin-150-80000-2--maxScore-160000-interBuf-13127-evaluation,0.973660413041815,0.946174349858609,0.953174810406847,1,0.983800432598602,0.94722755452069,0.954444720244602,0.94599791380482,0.977979793654971,0.958533309447751,0.934264319353556,0.946950604828681,0.938949862476174,0.927394375326839,0.895047447132651,0.905885730079578,evaluation,Berlin,interBuf,large
LGF-Berlin-150-80000-2--maxScore-160000-spanBuf-59045-evaluation,0.922822957248053,0.952221099008424,0.915553805919136,1,0.966535583657636,0.942600330373894,0.936224442568282,0.943340161107049,0.981799133510804,0.969673052800791,0.924012956469101,0.940792932276146,0.926642883565383,0.928581358850391,0.898318945989211,0.903202160669019,evaluation,Berlin,spanBuf,large
