instance,ks-noInit-noLS,ks-noInit-shortLS,ks-noInit-LS,ks-noInit-LSnonPerm,ks-mNEH-noLS,ks-mNEH-shortLS,ks-mNEH-LS,ks-mNEH-LSnonPerm,ks-NEH-noLS,ks-NEH-shortLS,ks-NEH-LS,ks-NEH-LSnonPerm,ks-LK-noLS,ks-LK-shortLS,ks-LK-LS,ks-LK-LSnonPerm,timeMeasure,instanceSet,bufferType,instanceSize
LGF-Berlin-100-80000-1--minTime-56-interBuf-13648-evaluation,1,0.818429765695366,0.165529183422345,0.38492813558462,0,0.879606489997336,0.333373504674676,0.370885080363826,0,0.862487155742176,0.464511791345825,0.424234735947431,0.188166791409253,0.517702875845184,0.34813964403963,0.719665351583809,evaluation,Berlin,interBuf,mid
LGF-Berlin-100-80000-1--minTime-56-spanBuf-60067-evaluation,0.899467604218985,0.870654612422568,0.644198895027624,0.787339695295497,1,0.999899547965846,1,0.999899547965846,0.999899547965846,1,1,0.999899547965846,0,0.559246609743847,0.49600870584296,0.790202578268877,evaluation,Berlin,spanBuf,mid
LGF-Berlin-100-80000-2--minTime-53-interBuf-10444-evaluation,0.988019169329072,0,0,0,0.647663738019168,1,0,0.663238817891374,0,0.0428314696485622,0,0.616713258785942,0,0,0,0,evaluation,Berlin,interBuf,mid
LGF-Berlin-100-80000-2--minTime-53-spanBuf-54144-evaluation,0,0.562598095636707,0.0915036099194308,0.368264099612849,0,0.36597520142304,0.0494663597363189,0.157371560113006,0,0.086494192738307,0.486449722716333,0.0880768023438317,0,1,0.583956785602177,0.227555718321649,evaluation,Berlin,spanBuf,mid
LGF-Berlin-100-80000-3--minTime-52-interBuf-17313-evaluation,0,0,1,0.916210902591599,0,0,0,0,0,0,0,0,0.22645218945487,0.179302949061662,0.252868632707775,0.137765862377122,evaluation,Berlin,interBuf,mid
LGF-Berlin-100-80000-3--minTime-52-spanBuf-66231-evaluation,0,0,0,0,1,0.810102427388803,0.399943875403397,0.942752911463452,0.766100743650907,0,0.817286375754176,0.351732846920164,0,0,0.0585940788550583,0.247930405500211,evaluation,Berlin,spanBuf,mid
LGF-Berlin-150-80000-1--minTime-82-interBuf-14374-evaluation,0.210635505313518,0,0,0,0.540560565646301,0.0885304204242345,0,0,0.187179812862525,0.0157923705491341,0.0377873745713196,0.141094034463779,1,0.110398408061306,0,0,evaluation,Berlin,interBuf,large
LGF-Berlin-150-80000-1--minTime-82-spanBuf-68779-evaluation,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,evaluation,Berlin,spanBuf,large
LGF-Berlin-150-80000-2--minTime-76-interBuf-10030-evaluation,0.997829895942006,0.73165944413236,0.289687157263997,0.386673086697162,0.6823121472327,0.405876334162587,0.145885161704518,0.253420672498194,0.503932268678276,0.549491078832624,0.154244576411738,0.256052216248027,1,0.576261268491025,0.114624294465399,0.343260974239628,evaluation,Berlin,interBuf,large
LGF-Berlin-150-80000-2--minTime-76-spanBuf-58669-evaluation,1,0.682236605048644,0.239742604817491,0.55028588133715,0.866876516938724,0.246789358823569,0.0231050588419256,0.387969188722474,0.825010707802759,0.243172501002794,0.0148447538565086,0.365486202231302,0.369201639823509,0.61167728382136,0.238226515918933,0.477765162588637,evaluation,Berlin,spanBuf,large
LGF-Berlin-150-80000-3--minTime-78-interBuf-12429-evaluation,0,0,0,0,0.343688613312309,0,0,0,0.338640706640119,0,0,0,1,0.860910293587054,0.630213274892093,0.382678764716101,evaluation,Berlin,interBuf,large
LGF-Berlin-150-80000-3--minTime-78-spanBuf-57423-evaluation,0,0,0,0.121351670486907,0,0,0,0.231232201153018,1,0,0,0.174036257553657,0,0,0,0.0959922206015142,evaluation,Berlin,spanBuf,large
LGF-Berlin-50-80000-1--minTime-26-interBuf-17586-evaluation,1,0.601481532406373,0.312263032157159,0.246656239795129,0.670127013045048,0.418239004520221,0.256693535912552,0.280803671175429,0.691696887406975,0.513830500317962,0.410920715672963,0.332413247855903,0.38649777426396,0.758438031727481,0.643830672189471,0.52697867074575,evaluation,Berlin,interBuf,small
LGF-Berlin-50-80000-1--minTime-26-spanBuf-64071-evaluation,1,0.999099639855942,0.997699079631853,0.997599039615846,0.999399759903962,0.999399759903962,0.999399759903962,0.999299719887955,0.999299719887955,0.999199679871949,0.999299719887955,0.999299719887955,0.999799919967987,0.999799919967987,0.999799919967987,0.999799919967987,evaluation,Berlin,spanBuf,small
LGF-Berlin-50-80000-2--minTime-28-interBuf-13807-evaluation,1,0.993392070484581,0.985482579094914,0.971932986250167,0.995094112935523,0.990188225871045,0.982078494193032,0.969329862501669,0.994893872647177,0.989987985582699,0.981878253904686,0.96702376184755,0.999299158990789,0.994393271926312,0.986283540248298,0.972620477906821,evaluation,Berlin,interBuf,small
LGF-Berlin-50-80000-2--minTime-28-spanBuf-50577-evaluation,1,0.994894383822204,0.987886675342877,0.620309006573898,0,0,0.976474121533687,0.898611806320285,0,0,0.976073681049154,0.834337771548704,0.993202522775053,0.991053492174725,0.977565321854039,0.963953682383956,evaluation,Berlin,spanBuf,small
LGF-Berlin-50-80000-3--minTime-26-interBuf-9751-evaluation,1,0.997097678142514,0.993694955964772,0.988083800373632,0.998799039231385,0.998899119295436,0.998899119295436,0.998899119295436,0.998799039231385,0.998799039231385,0.998799039231385,0.998799039231385,0.999599679743795,0.997297838270616,0.993694955964772,0.988400720576461,evaluation,Berlin,interBuf,small
LGF-Berlin-50-80000-3--minTime-26-spanBuf-58283-evaluation,1,0.991789326123961,0.984880344447782,0.982904442441841,0.9974967457695,0.9974967457695,0.9974967457695,0.9974967457695,0.99739661560028,0.99739661560028,0.99729648543106,0.99719635526184,0.99939921898468,0.994693101031341,0.986582557324522,0.98291779313107,evaluation,Berlin,spanBuf,small
LGF-brazil58-gen4-45.oplib-11428--minTime-279-interBuf-975-evaluation,0,0,0,0.231312856754553,0,0,0,0.692595037471363,0,0,0,1,0,0,0,0.537894614219702,evaluation,oplib,interBuf,mid
LGF-brazil58-gen4-45.oplib-11428--minTime-279-spanBuf-4803-evaluation,0,0,0,1,0,0,0,0.70520140725544,0,0,0,0.778835141837836,0,0,0,0.691071178452843,evaluation,oplib,spanBuf,mid
LGF-gr120-gen4-85.oplib-5901--minTime-594-interBuf-237-evaluation,1,0.748882250268529,0.380662593984962,0.594431390977444,0.73514701933405,0.587328813104189,0.24108821160043,0.680185955961332,0.748184076262084,0.576779001074114,0.254857008592911,0.690645139634801,0.56577604726101,0.116809881847476,0.0237379162191192,0.426641380236305,evaluation,oplib,interBuf,large
LGF-gr120-gen4-85.oplib-5901--minTime-594-spanBuf-941-evaluation,0,0,0,0.454428045923775,0,0,0,0.718632262431751,0,0,0,0.394885680439643,1,0.364931907047999,0.0191408441922813,0.457919535418133,evaluation,oplib,spanBuf,large
LGF-gr48-gen4-80.oplib-4037--minTime-232-interBuf-179-evaluation,1,0.997398178725108,0.994396077254078,0.994529503986124,0.998098669068348,0.997498248774142,0.994696287401181,0.991834283998799,0.997998599019314,0.997498248774142,0.994496147303112,0.99297508255779,0.999599719803863,0.998298809166416,0.996197338136696,0.992995096567597,evaluation,oplib,interBuf,small
LGF-gr48-gen4-80.oplib-4037--minTime-232-spanBuf-1034-evaluation,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,evaluation,oplib,spanBuf,small
LGF-hk48-gen4-80.oplib-9169--minTime-232-interBuf-514-evaluation,0,0,0.219077358091484,0.489752752451881,0,0,0,0.218058756080998,0,0,0,0.0541473243607298,1,0.386706965456589,0,0.272139286867271,evaluation,oplib,interBuf,small
