instance,ks-noInit-noLS,ks-noInit-shortLS,ks-noInit-LS,ks-noInit-LSnonPerm,ks-mNEH-noLS,ks-mNEH-shortLS,ks-mNEH-LS,ks-mNEH-LSnonPerm,ks-NEH-noLS,ks-NEH-shortLS,ks-NEH-LS,ks-NEH-LSnonPerm,ks-LK-noLS,ks-LK-shortLS,ks-LK-LS,ks-LK-LSnonPerm,timeMeasure,instanceSet,bufferType,instanceSize
LGF-Berlin-100-80000-1--minTime-56-interBuf-13648-evaluation,1,1.05298660000663,1.68039284162127,1.52473950347774,1.70389150894119,1.00894690214556,1.53015516924547,1.4866342314111,1.70426141410739,1.05051544635276,1.39325639785408,1.46070117896772,2.03291170403461,1.45187309799096,1.59895420359686,1.39400404702938,evaluation,Berlin,interBuf,mid
LGF-Berlin-100-80000-1--minTime-56-spanBuf-60067-evaluation,1.16769526336471,1.65408543420775,3.46561417487998,2.2629041497955,1.00643011990593,1.95224801306212,1.98827582002441,1.36219409706786,1,1.95561190033833,1.99207734535309,1.42388267734495,4,4,4,2.52365757685509,evaluation,Berlin,spanBuf,mid
LGF-Berlin-100-80000-2--minTime-53-interBuf-10444-evaluation,1.96360349966674,2.3631392360894,2.99729233874872,2.87734352187913,1.3477136382195,2.74561859850571,3.13011766315063,2.92936843750739,1.36522087045099,3.18697673928578,3.27535193172145,3.22710315836836,1,2.72122625814428,3.06390631356337,2.98549541428927,evaluation,Berlin,interBuf,mid
LGF-Berlin-100-80000-2--minTime-53-spanBuf-54144-evaluation,1.06942809748259,1.59908836927617,2.15318190890907,1.9619999572551,1.87597997999572,2.06527813166162,2.23523571988828,2.47786693735039,1.74906740657917,2.20493970179139,1.8993922248892,2.39047472045903,1,1.65341836382134,2.10383098605517,2.10852944987038,evaluation,Berlin,spanBuf,mid
LGF-Berlin-100-80000-3--minTime-52-interBuf-17313-evaluation,2.11140843203226,1.25917360334402,1.32328906013411,1.08410821415985,1.02827230772094,1.04366323819268,1.25012865585953,1.13286744646703,1,1.06360297262706,1.221331435288,1.06356164191445,1.32539324955374,1.2597244926115,1.29939622574931,1.27661377307083,evaluation,Berlin,interBuf,mid
LGF-Berlin-100-80000-3--minTime-52-spanBuf-66231-evaluation,1.13887164033153,1.1554565081187,1.18683233196403,1.64658269695961,1,1.01631408939793,1.08727691715989,1.37072733147796,1.01958279026959,1.1223905450699,1.04204024859032,1.43121142503218,1.12623497622032,1.14632680124181,1.17468153995359,1.57635923872184,evaluation,Berlin,spanBuf,mid
LGF-Berlin-150-80000-1--minTime-82-interBuf-14374-evaluation,1,1.278309212619,1.94455319662248,1.6155123507572,1.22437934150635,1.73991693681923,2.2259480362381,1.87700253371497,1.26233805524291,1.80951955280944,2.17468432407163,1.87741595319934,1.18625533967384,2.04704450952443,1.88204565942609,2.02872760164431,evaluation,Berlin,interBuf,large
LGF-Berlin-150-80000-1--minTime-82-spanBuf-68779-evaluation,1.15183749578126,1.44497680772376,1.93765300818722,1.62610633226674,1.22690636320399,1.76826932269238,1.85012942515005,1.58316147485894,1.2276535321766,1.76909742101407,1.85081339863598,1.55999197707329,1,1.60100166112926,1.82926462479509,1.70474017046372,evaluation,Berlin,spanBuf,large
LGF-Berlin-150-80000-2--minTime-76-interBuf-10030-evaluation,1,2.80421612074242,4,4,2.54632348184631,4,4,4,2.8298918128923,3.87739256434658,4,4,2,3.65648242894372,4,4,evaluation,Berlin,interBuf,large
LGF-Berlin-150-80000-2--minTime-76-spanBuf-58669-evaluation,1,4,4,4,2,4,4,4,3,4,4,4,4,4,4,4,evaluation,Berlin,spanBuf,large
